head_id,pca_90,pca_95,pca_99,evr_pc1,evr_pc2,evr_pc3,pr,twonn,mle,shannon_entropy,eff_rank,layer,block,head,pca_obj,head_dim,separability,silhouette,davies_bouldin,lr_mean,lr_std,ridge_mean,ridge_std,per_class_mean,per_class_std,spec_index,selectivity,top1_class,top1_activation,top2_class,top3_class,cluster
L1_B1_H4,12,15,20,0.18382086,0.14590041,0.109538876,10.16013,8.15428680061111,9.725127945280343,2.578943,13.183196,1,1,4,PCA(n_components=24),24,1.2868525681275804,-0.04245377704501152,3.539662068835867,0.621,0.024677925358506114,0.484,0.012509996003196796,0.7225,0.12331362455138524,0.6221762895584106,0.3375207483768463,22.0,0.38526487350463867,15.0,10.0,8
L1_B1_H5,10,13,19,0.20094226,0.18987109,0.1491289,8.234387,7.889810750724521,9.495415991441709,2.4193268,11.238291,1,1,5,PCA(n_components=24),24,1.2904690343031793,-0.06534439325332642,3.7589193020393714,0.594,0.025816661286851162,0.45600000000000007,0.0233238075793812,0.6955000000000001,0.1587994017620973,0.6590561270713806,0.27171555161476135,10.0,0.37071341276168823,26.0,40.0,4
L1_B1_H6,9,12,18,0.25076643,0.17145424,0.1348627,7.2553124,6.56460541299707,8.126881186273966,2.300711,9.981276,1,1,6,PCA(n_components=24),24,1.417211303228354,-0.06056814640760422,3.4663919986228326,0.637,0.026758176320519293,0.484,0.012806248474865693,0.7445,0.1478419764478276,0.9827683568000793,0.36244484782218933,22.0,0.7374948263168335,9.0,10.0,8
L1_B1_H7,11,13,18,0.2444058,0.1472664,0.118035294,8.307542,6.9442945498389035,9.063777348474,2.437302,11.442128,1,1,7,PCA(n_components=24),24,1.341544816453893,-0.052387535572052,3.6040816992607314,0.6195,0.018668154702594468,0.48450000000000004,0.013820274961085248,0.7250000000000001,0.15190457530963314,0.8603678345680237,0.427608460187912,22.0,0.7339230179786682,10.0,15.0,6
L2_B0_H0,11,14,19,0.17389263,0.15166245,0.12858312,10.003824,7.59330589684797,9.799494240910436,2.5532298,12.848536,2,0,0,PCA(n_components=24),24,1.243071424655026,-0.07209878414869308,3.911589028516049,0.5900000000000001,0.023611437906235204,0.46699999999999997,0.01839836949297409,0.7244999999999999,0.157360255464968,0.5346382856369019,0.20159389078617096,2.0,0.6130366921424866,22.0,15.0,5
L2_B0_H1,12,15,21,0.17100227,0.14568508,0.12400398,10.347565,7.35127066831163,9.446121189580198,2.5951724,13.398897,2,0,1,PCA(n_components=24),24,1.3655251665657204,-0.020235473290085793,3.131627948870748,0.6795,0.021988633427296022,0.5439999999999999,0.017507141400011597,0.7789999999999999,0.12790230646864817,0.9673097729682922,0.2655686140060425,40.0,0.8607842326164246,22.0,10.0,6
L2_B0_H10,12,15,21,0.17354262,0.13870282,0.1267301,10.581578,6.973777580046657,9.78468958835737,2.6222558,13.766743,2,0,1,PCA(n_components=24),24,1.3285037596532816,-0.03586570918560028,3.3352067547724302,0.6475,0.03350373113550191,0.5165,0.017860571099491768,0.764,0.14655715608594488,0.7527459859848022,0.328330934047699,35.0,0.7255496382713318,22.0,2.0,1
L2_B0_H11,12,15,20,0.16249494,0.1282873,0.10594521,11.319863,7.004155805280216,9.135375298790278,2.6534512,14.2029705,2,0,1,PCA(n_components=24),24,1.3893042581319253,0.0015712728491052985,2.9425195254809324,0.7260000000000001,0.016552945357246857,0.5800000000000001,0.004743416490252597,0.8204999999999998,0.11321329427236007,0.9360601902008057,0.30276358127593994,10.0,0.9013873338699341,22.0,40.0,3
L2_B0_H12,12,15,20,0.17023267,0.1433992,0.11375788,10.513784,6.9869852512887585,9.682835648023579,2.600264,13.467294,2,0,1,PCA(n_components=24),24,1.286420616984096,-0.04395841807126999,3.4736331350049157,0.633,0.014781745499094485,0.5015,0.010793516572461439,0.7390000000000001,0.14354093492798492,0.6400755047798157,0.35034090280532837,46.0,0.6241098642349243,36.0,22.0,1
L2_B0_H13,12,15,20,0.19024882,0.15334718,0.11816933,9.85107,7.113005203405794,9.056020274462051,2.5691648,13.054916,2,0,1,PCA(n_components=24),24,1.3483365313652382,-0.03124574013054371,3.1554970127700797,0.6725000000000001,0.02715695122800051,0.5255000000000001,0.012389511693363869,0.7764999999999997,0.1274176204455255,0.8060336709022522,0.27606597542762756,2.0,0.715425968170166,40.0,35.0,5
