head_id,layer_x,n_comp_99,evr1,layer_y,twonn_id,ratio,global_idx,mean_acc,std_acc
L3_B0_H29,3,24,0.12611079,3,9.090107376315942,2.6402328384515488,142,0.6745000000000001,0.03828837943815328
L3_B0_H3,3,24,0.12982574,3,8.706742161438962,2.7564845214198375,143,0.834,0.015779733838059504
L3_B0_H30,3,23,0.16222286,3,7.747034985025221,2.968877776395523,144,0.9359999999999999,0.011135528725660043
L3_B0_H31,3,23,0.13723248,3,8.502547988021611,2.705071471799089,145,0.849,0.01090871211463574
L3_B0_H4,3,23,0.14415255,3,8.357668815713701,2.751963556722476,146,0.8115,0.0265329983228432
L3_B0_H5,3,21,0.3033671,3,8.26188952342386,2.5417914316648065,147,0.739,0.021598611066455185
L3_B0_H6,3,24,0.12915236,3,8.205285844291316,2.924943805181093,148,0.835,0.029790938219532485
L3_B0_H7,3,24,0.13814603,3,9.38613319640983,2.556963501133772,149,0.6655,0.01017349497468791
L3_B0_H8,3,23,0.11052605,3,8.71956618380547,2.637745905606755,150,0.8760000000000001,0.00768114574786859
L3_B0_H9,3,23,0.13434649,3,8.65418726840117,2.657673018468107,151,0.8870000000000001,0.016077935190813526
L3_B1_H0,3,23,0.15823007,3,9.897273504851691,2.3238723259214056,152,0.643,0.02221485989152307
L3_B1_H1,3,23,0.1754549,3,8.332521444191164,2.7602689238842526,153,0.8560000000000001,0.023162469643800934
L3_B1_H10,3,23,0.1300991,3,9.63711402939052,2.3866066054481028,154,0.7395000000000002,0.011335784048754637
L3_B1_H11,3,22,0.14542012,3,8.445362250217961,2.6049800290605907,155,0.7790000000000001,0.02676751762864834
L3_B1_H12,3,23,0.20387658,3,9.005199865582703,2.554079903090716,156,0.7295,0.011335784048754629
L3_B1_H13,3,23,0.16337635,3,8.656893243385296,2.6568422820247,157,0.7699999999999999,0.013784048752090234
L3_B1_H14,3,23,0.16799751,3,8.916842640281162,2.5793883471823578,158,0.7995000000000001,0.012884098726725125
L3_B1_H15,3,22,0.17785272,3,8.579169220405976,2.5643508636794246,159,0.8545,0.008124038404635972
L3_B1_H16,3,23,0.16879906,3,8.793756414239882,2.6154920510142516,160,0.9075,0.014230249470757728
L3_B1_H17,3,22,0.2934314,3,9.346700472644077,2.35377180047543,161,0.7145,0.021644860821913345
L3_B1_H18,3,22,0.16872568,3,8.687854127015756,2.5322708782124677,162,0.8290000000000001,0.012708265027138827
L3_B1_H19,3,23,0.20451659,3,8.362266687576637,2.750450429208368,163,0.8554999999999999,0.016688319268278656
L3_B1_H2,3,23,0.15276432,3,10.081111829988046,2.2814943815604187,164,0.631,0.01662828914831589
L3_B1_H20,3,23,0.169179,3,8.504123632945737,2.704570275871336,165,0.8805000000000002,0.012980754985747144
