head_id,layer,cluster,lr_mean,spec_index
L3_B0_H9,3,3,0.9185000000000001,1.5894520282745361
L3_B1_H0,3,1,0.6944999999999999,0.7010787129402161
L3_B1_H1,3,8,0.8854999999999998,1.703920602798462
L3_B1_H10,3,8,0.8009999999999999,0.8035205006599426
L3_B1_H11,3,4,0.8245000000000001,1.3061087131500244
L3_B1_H12,3,2,0.7785,0.9075184464454651
L3_B1_H13,3,6,0.7955,1.5591926574707031
L3_B1_H14,3,6,0.825,1.17625093460083
L3_B1_H15,3,3,0.8799999999999999,1.695972204208374
L3_B1_H16,3,3,0.9145,2.2357332706451416
L3_B1_H17,3,5,0.7775000000000001,1.3910701274871826
L3_B1_H18,3,2,0.8644999999999999,1.236063838005066
L3_B1_H19,3,5,0.865,2.1082186698913574
L3_B1_H2,3,4,0.7025,0.6303572058677673
L3_B1_H20,3,4,0.9,2.7691650390625
L3_B1_H21,3,4,0.7899999999999999,1.3825159072875977
L3_B1_H22,3,6,0.6529999999999999,0.47127047181129456
L3_B1_H23,3,8,0.6990000000000001,0.509414792060852
L3_B1_H24,3,6,0.8805,1.111530065536499
L3_B1_H25,3,2,0.9175000000000001,2.392796277999878
L3_B1_H26,3,4,0.6845000000000001,0.526613712310791
L3_B1_H27,3,1,0.8344999999999999,1.2636451721191406
L3_B1_H28,3,8,0.889,2.0466573238372803
L3_B1_H29,3,6,0.8779999999999999,1.5027508735656738
L3_B1_H3,3,4,0.9040000000000001,1.623932123184204
L3_B1_H30,3,3,0.8755000000000001,1.1765670776367188
L3_B1_H31,3,2,0.8815000000000002,1.348166584968567
L3_B1_H4,3,1,0.8744999999999999,1.180008053779602
L3_B1_H5,3,1,0.743,0.8539597392082214
L3_B1_H6,3,4,0.8345,1.9674643278121948
L3_B1_H7,3,5,0.7485,0.5654821395874023
L3_B1_H8,3,6,0.9199999999999999,2.5572874546051025
L3_B1_H9,3,1,0.8305,1.5268850326538086
